category,songid,popularity,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Pop,2rfv7EIuG4ToxDMUgZisyz,59,0.64,0.454,1,-7.696,0.0425,0.799,5.00E-06,0.164,0.208,139.885
Pop,1ac7570OG3cTPYRXnpssg8,23,0.521,0.823,3,-6.147,0.0744,0.552,0,0.31,0.656,116.553
Pop,36HDXw8pu6xTytA8F3vcBi,59,0.537,0.585,10,-7.753,0.151,0.638,0,0.0862,0.224,172.035
Pop,6M7bXLGi2e3QKHLwZTTmEN,55,0.543,0.74,7,-2.874,0.0325,0.00798,0.000932,0.283,0.399,89.869
Pop,7esrnDc7ncqQGHz8q6Wql2,0,0.484,0.748,0,-5.049,0.0491,0.0101,0.000239,0.242,0.668,100.568
Pop,1fUTkSn2LxAN7nc1gbau7X,64,0.858,0.401,8,-8.885,0.273,0.474,0,0.256,0.501,90.027
Pop,4OT4AvPAq1o0rscVNdC20X,18,0.754,0.449,4,-14.013,0.0615,0.724,0,0.162,0.972,82.751
Pop,1nMYtxDrONcoGnKRvxTwPv,76,0.716,0.812,7,-5.233,0.344,0.31,0,0.551,0.364,133.047
Pop,398yyQgNK4gUDUONBlQOYa,64,0.637,0.504,5,-4.121,0.0798,0.00135,0.000563,0.0688,0.729,135.267
Pop,0MqOr7Mn0484bXVnlO4QeZ,63,0.741,0.62,6,-7.439,0.0472,0.334,0,0.302,0.7,126.028
Pop,1Uq2x4ZV85B4LDk2BkC4YW,50,0.635,0.73,11,-4.965,0.205,0.0801,0,0.111,0.882,154.836
Pop,2Vtuh21ytM0ZuDLQ9hfsw3,37,0.513,0.915,11,-7.43,0.046,0.000512,0.00051,0.108,0.515,133.055
Pop,27L8sESb3KR79asDUBu8nW,74,0.774,0.75,11,-4.927,0.0413,0.0021,1.80E-05,0.0808,0.901,118.015
Pop,6gv02BqPCsOQz5QQ4jnNOY,16,0.753,0.751,0,-9.372,0.0535,4.00E-05,0.748,0.0783,0.892,130.41
Pop,78hpyJZ2DdOTwv7eivWWO5,67,0.601,0.681,9,-5.171,0.324,0.58,0,0.0934,0.569,98.078
Pop,6nbjZ2Jl8yjSZ964YDeRLy,16,0.222,0.431,9,-6.977,0.0356,0.547,0,0.731,0.196,174.042
Pop,6ukvsBzq4d1vBsAUmz7ZVt,65,0.717,0.621,11,-7.588,0.0605,0.00403,0,0.144,0.721,133.014
Pop,7ttUozqP4CiEWFcsg1UxuF,58,0.688,0.849,7,-4.381,0.0551,0.106,0,0.0439,0.76,88.006
Pop,4VMFxnw1TWjUMmhwYlkw63,5,0.565,0.536,1,-10.772,0.165,0.221,3.00E-06,0.115,0.217,140.041
Pop,1psa4nfu2cZ6gS4WoJkfQQ,59,0.573,0.234,5,-11.647,0.153,0.89,0,0.129,0.423,98.199
Pop,0Fo8AtokgPbjiTdUe99x3g,39,0.864,0.723,4,-5.586,0.0452,0.329,9.00E-06,0.0707,0.963,112.995
Pop,58nTd9ZnGjtpCwrVsenLSJ,31,0.819,0.655,7,-9.238,0.0727,0.0101,0.00474,0.198,0.786,128.382
Pop,27vTihlWXiz9f9lJM3XGVU,86,0.726,0.429,0,-6.623,0.0519,0.0133,0,0.0574,0.874,85.899
Pop,6eUncuJutsFi9BGO1JaBHh,89,0.897,0.634,4,-6.264,0.161,0.00413,0,0.0686,0.506,112.048
Pop,5irsk4OpryT2A7oPcEm2w1,42,0.429,0.974,1,-4.04,0.0419,5.00E-06,0.563,0.577,0.724,137.01
Pop,7aF09WaavZAmAWuUeYxlYD,89,0.593,0.868,1,-3.573,0.295,0.183,0,0.365,0.475,104.988
Pop,5dI1yHSqgmilFEqpGbqxHh,75,0.535,0.577,4,-7.168,0.023,0.238,7.60E-05,0.133,0.614,90.086
Pop,2H68hrTywSrLZjHH3kQ9wR,46,0.817,0.884,9,-4.677,0.121,0.0842,0.0129,0.411,0.889,145.027
Pop,2374M0fQpWi3dLnB54qaLX,80,0.671,0.373,9,-18.064,0.0323,0.257,7.90E-05,0.0481,0.732,92.717
Pop,3z0PUQMeHlnZFAWyjbFrtm,34,0.523,0.552,5,-16.095,0.0313,0.374,0.938,0.135,0.314,108.986
Pop,1NWvbQI3bNfPxbxF9OQ1Ek,52,0.526,0.318,0,-8.884,0.0323,0.852,0,0.0974,0.165,75.008
Pop,2bJvI42r8EF3wxjOuDav4r,79,0.72,0.802,1,-5.797,0.0582,0.0921,0,0.694,0.716,124.043
Pop,5I76WXgkIVCx0rhzBNBQOC,3,0.626,0.933,4,-3.931,0.0507,0.211,0,0.29,0.604,103.001
Pop,34EKpO7OewphNNdg0rBd5x,36,0.941,0.693,2,-4.523,0.112,0.0384,0.000137,0.12,0.289,116.022
Pop,3yNVfRQlUPViUh8O2V9SQn,64,0.862,0.663,0,-9.004,0.21,0.12,0,0.318,0.832,85.308
Pop,7cdnEbqzVTIfvmFtjzspMA,45,0.726,0.682,8,-10.051,0.187,0.232,0,0.567,0.848,105.986
Pop,5V0CRoCDeDpGTXZGWPTk3D,63,0.741,0.117,7,-12.427,0.049,0.931,0.000164,0.175,0.349,124.087
Pop,5dhsuaGYQpEhXsOQsbLL7s,49,0.584,0.65,1,-6.202,0.357,0.215,0,0.0776,0.685,96.726
Pop,4AaX9uSYqYLiI6r90NKh8w,67,0.791,0.567,6,-6.907,0.104,0.173,3.00E-06,0.194,0.522,98.044
Pop,4tUYhIIjUoL1i41fqZaaBM,30,0.555,0.825,5,-3.779,0.142,0.0907,0,0.32,0.74,175.61
Pop,0TtDAc8rXQPjkj1HLK5va6,53,0.664,0.843,2,-3.643,0.0616,0.0551,0,0.402,0.376,139.996
Pop,4igKl8YqB7HsDP9ZKJbUEy,1,0.623,0.65,10,-7.953,0.0274,0.245,0.000913,0.146,0.884,116.74
Pop,7ceisg9MpCeJoLaoPfyu0V,40,0.901,0.645,1,-4.987,0.0589,0.13,8.00E-06,0.0969,0.535,108.04
Pop,6bOFuQmZdmvre9pwOsuTzd,18,0.437,0.878,10,-3.876,0.396,0.188,0,0.351,0.609,79.474
Pop,7rdUtXasA973gmrr2Xxh3E,85,0.615,0.547,0,-5.086,0.152,0.254,0,0.171,0.167,106.688
Pop,3WTUNLFtzWaDwfFfZJZ9d8,69,0.513,0.554,3,-5.638,0.0372,0.488,0.000259,0.111,0.715,175.958
Pop,44jVYj3TXig7Cf1vkgulnQ,70,0.447,0.602,0,-8.996,0.219,0.302,0.00233,0.107,0.349,165.041
Pop,3OcQ2n0iu7SuyM7SphLKVy,53,0.641,0.801,2,-6.111,0.0481,0.213,0,0.0984,0.685,129.242
Pop,5eqZWYQ5tbIehx00NeKXz7,49,0.806,0.765,2,-9.665,0.0583,0.0236,0.617,0.148,0.36,115.023
Pop,284b45rER2dZCBVCkCQNEk,63,0.526,0.806,1,-5.418,0.0787,0.00297,0,0.12,0.832,98.785
Pop,4rmPQGwcLQjCoFq5NrTA0D,39,0.853,0.681,0,-5.003,0.0888,0.00966,5.70E-05,0.0233,0.937,115.004
Pop,7cM9Kqto11iJpY2RwgVJSq,70,0.812,0.472,1,-6.806,0.0603,0.26,0,0.285,0.457,92.951
Pop,6l3iEDNEyAm9AM5MSjvLkm,76,0.742,0.522,5,-4.111,0.152,0.136,0,0.0422,0.751,180.039
Pop,5Gu0PDLN4YJeW75PpBSg9p,86,0.667,0.726,8,-4.172,0.054,0.032,0,0.0745,0.77,103.001
Pop,3uRIGDDdT4tztwsOSLmjZg,60,0.581,0.824,0,-3.912,0.0377,0.0105,0,0.483,0.748,114.912
Pop,074Gs4Omblzhjx6XOrIl3b,57,0.766,0.755,6,-5.781,0.0385,0.131,1.00E-06,0.0459,0.546,105.008
Pop,1ANc3O9jWyP6B9f4WQkiad,50,0.621,0.876,8,-7.785,0.0751,0.00102,0,0.169,0.577,142.023
Pop,4pkZNPC6yeMnQABwkTmsR6,53,0.551,0.794,4,-4.863,0.104,0.00119,0,0.112,0.34,135.947
Pop,73DA64XbPpafrOo9kY9jmF,10,0.715,0.734,6,-6.144,0.0682,0.0921,0.00133,0.153,0.587,92.561
Pop,3HW030T8eqPs8wpsgZqCGM,52,0.843,0.433,0,-8.139,0.0676,0.0114,8.00E-06,0.123,0.158,106.028
Pop,3nnXAqJVpdiwYKAXFBpnlG,68,0.684,0.543,3,-5.579,0.0281,0.365,2.00E-06,0.113,0.373,140.996
Pop,2tvIosGH6YKpGm1h0hKGk9,27,0.78,0.558,10,-8.453,0.343,0.244,0.000186,0.126,0.299,93.02
Pop,0ZoRoRqeaB43CFX8wsEM8m,64,0.692,0.232,6,-10.186,0.0351,0.875,0,0.114,0.269,118.111
Pop,12uqcwVieD2bANLlse6j1Q,28,0.795,0.676,0,-6.516,0.0569,0.281,1.00E-06,0.0908,0.724,99.982
Pop,71UXJmNkfsvf9WQnAChwvD,69,0.863,0.657,7,-7.295,0.105,0.264,0.00619,0.0713,0.812,115.958
Pop,273dCMFseLcVsoSWx59IoE,72,0.65,0.793,7,-6.083,0.185,0.0795,1.30E-05,0.168,0.282,170.101
Pop,5CMccjYRurNhK3qt71BFmz,61,0.497,0.504,1,-5.127,0.108,0.849,0,0.16,0.519,78.288
Pop,1qCuOj9vIku6yHw2m3maPf,32,0.563,0.654,11,-6.052,0.0357,0.233,0.000179,0.108,0.75,96.044
Pop,5YNHnPXc69TEjEWDgriKdv,19,0.321,0.943,4,-2.271,0.085,0.000854,0.000113,0.461,0.651,176.05
Pop,0afhq8XCExXpqazXczTSve,90,0.624,0.876,9,-3.374,0.1,0.0735,0,0.327,0.781,99.943
Pop,4JehYebiI9JE8sR8MisGVb,80,0.508,0.72,11,-5.908,0.0628,0.272,0,0.0563,0.476,79.983
Pop,2gOlrge3YTmYPwsCGgU62K,21,0.633,0.976,8,-5.362,0.0519,0.00281,1.30E-05,0.382,0.471,142.027
Pop,7AaZ4n1NQEgmV8rqEl12Fh,48,0.48,0.835,4,-2.121,0.042,0.017,0,0.372,0.538,145.546
