,songid,song_title,artist_name,popularity,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,category
3263,48RrDBpOSSl1aLVCalGl5C,The Monster,Eminem,73,0.7859999999999999,0.857,9,-3.765,0.0734,0.0514,0.0,0.11199999999999999,0.602,110.038,4,Pop
3264,28yT0sZlkqStSByo1j58J4,Baby Got Back,Various Artists,64,0.9359999999999999,0.76,1,-7.872999999999999,0.282,0.00391,3e-06,0.0394,0.6559999999999999,128.47899999999998,4,Pop
3265,2QWP8NYYplOqEFBYGCcq0S,Rain,The Script,78,0.6890000000000001,0.586,6,-7.61,0.107,0.24100000000000002,0.0,0.35600000000000004,0.61,93.02,4,Pop
3266,7eGNiGg6SE27VkSrpZMVTD,Radioactive,Imagine Dragons,25,0.474,0.779,9,-3.655,0.0604,0.0985,0.000106,0.6579999999999999,0.233,136.23,4,Pop
3267,1tp1xMJ1uaOktksskS0Fzs,Curve (feat. The Weeknd),Gucci Mane,86,0.76,0.47600000000000003,8,-8.103,0.24100000000000002,0.294,0.0,0.1,0.354,147.01,4,Pop
3268,50RoQj3Bpff9kHJS844dAT,Fine,Noah Kahan,60,0.69,0.774,0,-6.28,0.0299,0.016,0.0,0.17,0.51,117.01100000000001,4,Pop
3269,2xugNZzWFJVQB54PS5XnG2,New Rules,Becca Adams,67,0.617,0.18899999999999997,9,-12.11,0.0302,0.9540000000000001,0.0,0.0977,0.28,90.04700000000001,4,Pop
3270,2Cd9iWfcOpGDHLz6tVA3G4,Waka Waka (This Time for Africa) (The Official 2010 FIFA World Cup (TM) Song),Shakira,73,0.7659999999999999,0.873,11,-6.381,0.14300000000000002,0.00627,0.0,0.0764,0.727,126.988,4,Pop
3271,4j6Hkosuk9xHcowXjtwefs,Nothing Compares 2 U,Sinéad OConnor,14,0.511,0.574,5,-7.016,0.0273,0.0425,2.3e-05,0.105,0.151,119.917,4,Pop
3272,7e4Pftu2tzDeY0W0690OKQ,What About Us - Acoustic,Thomas Daniel,65,0.42700000000000005,0.22899999999999998,4,-11.564,0.0364,0.935,7.000000000000001e-06,0.0958,0.222,125.195,5,Pop
3273,32OlwWuMpZ6b0aN2RZOeMS,Uptown Funk,Mark Ronson,84,0.856,0.609,0,-7.223,0.0824,0.00801,8.2e-05,0.0344,0.932,114.988,4,Pop
3274,1ynmMEK1fkyiZ6Z6F3ThEt,Centerfold,The J. Geils Band,70,0.653,0.677,0,-12.244000000000002,0.0396,0.249,0.0,0.40299999999999997,0.878,114.37,4,Pop
