category,songid,popularity,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Romance,2CtKyIxBwWqvXnVjiAU4mc,35,0.174,0.201,8,-15.290999999999999,0.0354,0.932,0.0106,0.337,0.0892,170.22299999999998,4
Romance,1vwOeYWmCTeUibbinWC526,47,0.626,0.36,1,-9.802,0.0301,0.46299999999999997,3.4e-05,0.0919,0.22399999999999998,121.11399999999999,4
Romance,4DnzD0WEiffpsmj5iiT3XU,52,0.20600000000000002,0.28,10,-12.779000000000002,0.0296,0.7859999999999999,0.00047400000000000003,0.171,0.212,187.15400000000002,4
Romance,65G5sQcL7urCRxQ8Bz5Byb,36,0.551,0.634,11,-3.681,0.0348,0.36,0.0,0.0927,0.243,111.98299999999999,4
Romance,3y7ByLZ05tluscOTRgEJ9Y,69,0.804,0.68,0,-3.81,0.2,0.45799999999999996,0.0,0.102,0.617,102.01299999999999,4
Romance,2dfHh7ECGxfNqZTQno09Vk,79,0.604,0.366,7,-7.881,0.0267,0.7190000000000001,0.0,0.162,0.18100000000000002,105.177,3
Romance,2WPHpOOrSoDBOEnV8Cv76w,48,0.449,0.0192,9,-27.12,0.0402,0.937,0.000331,0.109,0.204,120.191,3
Romance,1UxYNCzvOgMMMvzQe66NIY,51,0.423,0.705,10,-4.742,0.0384,0.457,0.0,0.196,0.486,179.90400000000002,4
Romance,29GuoJqjg7aMxUmEO3XLEp,57,0.73,0.447,10,-11.674000000000001,0.0555,0.196,0.005529999999999999,0.113,0.865,124.15799999999999,4
Romance,53uc971drfYBCb09f7LILw,34,0.149,0.293,3,-14.837,0.0373,0.945,0.8690000000000001,0.0642,0.109,84.694,4
Romance,6RYynPLHZLnpwjejfGWpQl,56,0.687,0.363,8,-10.144,0.0857,0.215,3e-06,0.305,0.517,137.365,4
Romance,3rB5fYZr3nSD2tBAvfYPb2,42,0.364,0.5489999999999999,2,-5.682,0.0378,0.461,0.0,0.14300000000000002,0.308,130.19299999999998,4
Romance,1DhXN9IKtRetcXwsYfO3bx,33,0.5429999999999999,0.389,5,-6.336,0.0399,0.748,0.0,0.0952,0.541,131.481,4
Romance,2nsGfgWxQxLWWF9bXbW5ih,30,0.345,0.044000000000000004,1,-27.767,0.0434,0.993,0.903,0.0909,0.0411,67.889,3
